nombre_comun,nombre_cientifico,es_aprobado,uso_capturas,uso_mediciones,uso_carnadas,uso_especie_objetivo,uso_total,flag_tipo,similar_a,similitud_pct,flag_cientifico,similar_cientifico,similitud_cientifico_pct
pez gallo,Pendiente,False,3,0,0,0,3,DUPLICADO_EXACTO,Pez gallo,100,DUPLICADO_EXACTO,Pendiente,100
Puyeque,Pendiente,False,0,1,2,0,3,,,,DUPLICADO_EXACTO,Pendiente,100
Quirri,Pendiente,False,0,3,0,0,3,,,,DUPLICADO_EXACTO,Pendiente,100
"Sardina ,calamar",Pendiente,False,0,0,3,0,3,DUPLICADO_PROBABLE,Sardina calamar,97,DUPLICADO_EXACTO,Pendiente,100
Sardina y calamar va sumando ambos,Pendiente,False,0,0,3,0,3,,,,DUPLICADO_EXACTO,Pendiente,100
Ssrdina,Pendiente,False,0,0,3,0,3,DUPLICADO_EXACTO,ssrdina,100,DUPLICADO_EXACTO,Pendiente,100
Troncho,Pendiente,False,3,0,0,0,3,POSIBLE_DUPLICADO,Ronco,83,DUPLICADO_EXACTO,Pendiente,100
Vieja prieta,Pendiente,False,1,2,0,0,3,POSIBLE_DUPLICADO,Guinea prieta,80,DUPLICADO_EXACTO,Pendiente,100
14 Trampas No trabajaron por presencia de lobo,Pendiente,False,0,0,2,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Bonita y dardina,Pendiente,False,0,0,2,0,2,DUPLICADO_PROBABLE,Bonita y Sardina,94,DUPLICADO_EXACTO,Pendiente,100
Bonita- sardina,Pendiente,False,0,0,2,0,2,DUPLICADO_PROBABLE,Sardina bonita,97,DUPLICADO_EXACTO,Pendiente,100
"Bonita, sardin",Pendiente,False,0,0,2,0,2,DUPLICADO_PROBABLE,Sardina bonita,93,DUPLICADO_EXACTO,Pendiente,100
"Bonito,caballa,sardina",Pendiente,False,0,0,2,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
cadernal,Pendiente,False,2,0,0,0,2,DUPLICADO_EXACTO,Cadernal,100,DUPLICADO_EXACTO,Pendiente,100
Camellón,Pendiente,False,2,0,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Candil,Pendiente,False,2,0,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Carnada,Pendiente,False,0,0,2,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Carterita,Pendiente,False,1,1,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Chihuil camote,Pendiente,False,0,2,0,0,2,POSIBLE_DUPLICADO,Chihuil cuatete,83,DUPLICADO_EXACTO,Pendiente,100
Chivito,Pendiente,False,1,1,0,0,2,POSIBLE_DUPLICADO,Chivatito,88,DUPLICADO_EXACTO,Pendiente,100
Dril,Pendiente,False,1,1,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Guinea amarilla,Pendiente,False,0,2,0,0,2,POSIBLE_DUPLICADO,Curvina amarilla,84,DUPLICADO_EXACTO,Pendiente,100
Langostino,Macrobrachium tenellum,False,0,0,2,0,2,,,,,,
Lisa y macarela,Pendiente,False,0,0,2,0,2,POSIBLE_DUPLICADO,Bonita y macarela,81,DUPLICADO_EXACTO,Pendiente,100
Macarela y bonita,Pendiente,False,0,0,2,0,2,DUPLICADO_EXACTO,Bonita y macarela,100,DUPLICADO_EXACTO,Pendiente,100
Mantarraya mariposa,Gymnura marmorata,False,2,0,0,0,2,,,,,,
OtraSardina de escama,0,False,0,0,2,0,2,POSIBLE_DUPLICADO,Sardina de escama,89,,,
Paleta,Pendiente,False,2,0,0,0,2,POSIBLE_DUPLICADO,Palometa,86,DUPLICADO_EXACTO,Pendiente,100
Pámpano preso,Chaetodipterus zonatus,False,0,2,0,0,2,,,,DUPLICADO_EXACTO,Chaetodipterus zonatus,100
Papelillo,Selene peruviana,False,1,1,0,0,2,,,,,,
Pargo sandia,Pendiente,False,2,0,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Plateada,Pendiente,False,2,0,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Raton amarillo,Polydactilus opercularis,False,0,2,0,0,2,DUPLICADO_EXACTO,Ratón amarillo,100,DUPLICADO_PROBABLE,Polydactylus opercularis,96
Roncador,Pomadasys sp.,False,2,0,0,0,2,,,,,,
sabalo,Pendiente,False,2,0,0,0,2,DUPLICADO_EXACTO,Sabalo,100,DUPLICADO_EXACTO,Pendiente,100
Saedina,Pendiente,False,0,0,2,0,2,POSIBLE_DUPLICADO,Sardina,86,DUPLICADO_EXACTO,Pendiente,100
Sardina bonita,Pendiente,False,0,0,2,0,2,DUPLICADO_EXACTO,sardina bonita,100,DUPLICADO_EXACTO,Pendiente,100
Sardina y bocona,Sardinops caeruleus y Anchoa nasus,False,0,0,2,0,2,POSIBLE_DUPLICADO,Bonita y Sardina,88,,,
"Sardina, bonita y macarela",Pendiente,False,0,0,2,0,2,DUPLICADO_EXACTO,"Sardina, macarela y bonita",100,DUPLICADO_EXACTO,Pendiente,100
"Sardina, calamar",Pendiente,False,0,0,2,0,2,DUPLICADO_PROBABLE,Sardina calamar,97,DUPLICADO_EXACTO,Pendiente,100
"Sardina, Macarel",Pendiente,False,0,0,2,0,2,DUPLICADO_EXACTO,"Sardina, macarel",100,DUPLICADO_EXACTO,Pendiente,100
"Sardina, macarela y bonita",Pendiente,False,0,0,2,0,2,DUPLICADO_EXACTO,"Sardina, bonita y macarela",100,DUPLICADO_EXACTO,Pendiente,100
Sardinq,Pendiente,False,0,0,2,0,2,POSIBLE_DUPLICADO,Sardina,86,DUPLICADO_EXACTO,Pendiente,100
Sradina,Pendiente,False,0,0,2,0,2,POSIBLE_DUPLICADO,SARARDINA,88,DUPLICADO_EXACTO,Pendiente,100
Tacuni,Pendiente,False,0,2,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Tiburón azul,Prionace glauca,False,2,0,0,0,2,,,,,,
Tiburón cornuda prieta,Sphyrna zygaena,False,0,2,0,0,2,,,,,,
Tiburón perro,Pendiente,False,2,0,0,0,2,POSIBLE_DUPLICADO,Tiburón zorro,85,DUPLICADO_EXACTO,Pendiente,100
Tilapia negra,Pendiente,False,2,0,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Torito,Pendiente,False,1,1,0,0,2,POSIBLE_DUPLICADO,Toro,80,DUPLICADO_EXACTO,Pendiente,100
Toro rayado,Caranx vinctus,False,0,2,0,0,2,POSIBLE_DUPLICADO,Burro rayado,78,POSIBLE_DUPLICADO,Caranx caninus,79
Vieja ceniza,Pendiente,False,2,0,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
Vieja negra,Pendiente,False,1,1,0,0,2,,,,DUPLICADO_EXACTO,Pendiente,100
40,Pendiente,False,0,0,1,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Amalaya,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Anguila,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Binito,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Bonito,83,DUPLICADO_EXACTO,Pendiente,100
Boloche,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Bolochi,86,DUPLICADO_EXACTO,Pendiente,100
Bolochi,Pendiente,False,0,1,0,0,1,POSIBLE_DUPLICADO,Boloche,86,DUPLICADO_EXACTO,Pendiente,100
"Bonita, sardina y macarela",Pendiente,False,0,0,1,0,1,DUPLICADO_PROBABLE,"Sardina, bonita y macarela",96,DUPLICADO_EXACTO,Pendiente,100
Bonits,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Bonita,83,DUPLICADO_EXACTO,Pendiente,100
Cabrilla Sardinera,Micteroperka rosacea,False,1,0,0,0,1,DUPLICADO_EXACTO,Cabrilla sardinera,100,POSIBLE_DUPLICADO,Mycteroperca rosacea,90
"Calamar ,sardina",Pendiente,False,0,0,1,0,1,DUPLICADO_PROBABLE,Calamar sardina,97,DUPLICADO_EXACTO,Pendiente,100
Calamar sardina,Pendiente,False,0,0,1,0,1,DUPLICADO_EXACTO,Sardina calamar,100,DUPLICADO_EXACTO,Pendiente,100
Calamar y agujeta,Loligo opalescens y Hemiramphus saltator,False,0,0,1,0,1,,,,,,
Camaron,Pendiente,False,0,0,1,0,1,DUPLICADO_EXACTO,Camarón,100,DUPLICADO_EXACTO,Pendiente,100
Camaron vivo,Pendiente,False,0,0,1,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Canun,Pendiente,False,0,1,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Chabelita,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Chabela,88,DUPLICADO_EXACTO,Pendiente,100
Chirillo,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Choá,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Chopa,89,DUPLICADO_EXACTO,Pendiente,100
Cochi lija,Aluterus scriptus,False,0,1,0,0,1,,,,,,
Garropa cerduda,Pendiente,False,0,1,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Güero,Pendiente,False,0,1,0,0,1,DUPLICADO_EXACTO,Guero,100,DUPLICADO_EXACTO,Pendiente,100
Guitarra huesuda,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Guitarra punteada,79,DUPLICADO_EXACTO,Pendiente,100
Lunarejo,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Macarela y antena,Scomber japonicus y Hemanthias signifer,False,0,0,1,0,1,POSIBLE_DUPLICADO,Bonita y macarela,82,,,
Macarela y guinea,Scomber japonicus y Haemulon flaviguttatum,False,0,0,1,0,1,POSIBLE_DUPLICADO,Macarela y antena,82,,,
Macarela y pierna,Scomber japonicus y Caulolatilus princeps,False,0,0,1,0,1,POSIBLE_DUPLICADO,Macarela y antena,82,POSIBLE_DUPLICADO,Scomber japonicus y Sardinops caeruleus,80
Macarela y zorrillo,Scomber japonicus y Paralabrax auroguttatus,False,0,0,1,0,1,,,,,,
"Macarela, sardina y anchoveta",Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina de aceite y macarela,81,DUPLICADO_EXACTO,Pendiente,100
Macarena,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Macarela,88,DUPLICADO_EXACTO,Pendiente,100
Macarena / Sardina,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina / Macarel,91,DUPLICADO_EXACTO,Pendiente,100
Marcial,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Mojarra china,Eugerres axiliaris,False,1,0,0,0,1,DUPLICADO_EXACTO,Mojarra China,100,DUPLICADO_PROBABLE,Eugerres axillaris,94
Ojo gordo y macarela,Pristigenys serrula y Scomber japonicus,False,0,0,1,0,1,,,,,,
Parabolica,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Pargo calandrio,Pendiente,False,0,1,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Pargo Coconaco,Hoplopagrus guentherii,False,0,1,0,0,1,POSIBLE_DUPLICADO,Pargo colorado,79,DUPLICADO_EXACTO,Hoplopagrus guentherii,100
pargo liso,Pendiente,False,1,0,0,0,1,DUPLICADO_EXACTO,Pargo liso,100,DUPLICADO_EXACTO,Pendiente,100
Pargo s,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Pargo,83,DUPLICADO_EXACTO,Pendiente,100
Pargo_amarillo,Pendiente,False,0,1,0,0,1,DUPLICADO_PROBABLE,Pargo amarillo,93,DUPLICADO_EXACTO,Pendiente,100
Pez piedra,Scorpaena guttata,False,0,1,0,0,1,,,,,,
Pina,Oligoplites altus,False,1,0,0,0,1,DUPLICADO_EXACTO,Piña,100,DUPLICADO_PROBABLE,Oligonlites altus,94
Pinta,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Piña,89,DUPLICADO_EXACTO,Pendiente,100
Pinta c,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Pinta,83,DUPLICADO_EXACTO,Pendiente,100
Pirrin,Pendiente,False,1,0,0,0,1,POSIBLE_DUPLICADO,Pirri,91,DUPLICADO_EXACTO,Pendiente,100
Platanillo,Decapterus muroadsi,False,0,0,1,0,1,,,,,,
Raton,Polydactylus approximans,False,0,1,0,0,1,DUPLICADO_EXACTO,Ratón,100,,,
Raya,Pendiente,False,1,0,0,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Rayadillo y torito,Microlepidotus brevipinnis y Caranx caninus,False,0,0,1,0,1,,,,,,
Sa4dina,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina,86,DUPLICADO_EXACTO,Pendiente,100
Safdina,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina,86,DUPLICADO_EXACTO,Pendiente,100
SARARDINA,Pendiente,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina,88,DUPLICADO_EXACTO,Pendiente,100
Sardia,Pendiente,False,0,0,1,0,1,DUPLICADO_PROBABLE,Sardina,92,DUPLICADO_EXACTO,Pendiente,100
Sardina - calamar,Pendiente,False,0,0,1,0,1,DUPLICADO_PROBABLE,Sardina y calamar,94,DUPLICADO_EXACTO,Pendiente,100
sardina bonita,Pendiente,False,0,0,1,0,1,DUPLICADO_EXACTO,Sardina bonita,100,DUPLICADO_EXACTO,Pendiente,100
Sardina crinuda,Pendiente,False,0,0,1,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
Sardina de aceite y agujeta,Sardinops caeruleus y Hemiramphus saltator,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina de aceite y calamar,81,,,
Sardina de aceite y calamar,Sardinops caeruleus y Loligo opalescens,False,0,0,1,0,1,POSIBLE_DUPLICADO,Sardina de aceite y macarela,84,DUPLICADO_EXACTO,Loligo opalescens y Sardinops caeruleus,100
Sardina u calamar,Pendiente,False,0,0,1,0,1,DUPLICADO_PROBABLE,Calamar y sardina,94,DUPLICADO_EXACTO,Pendiente,100
Sardina y guarepa,Sardinops caeruleus y Caulolatilus affinis,False,0,0,1,0,1,POSIBLE_DUPLICADO,Macarela y sardina,80,,,
"Sardina, macarel",Pendiente,False,0,0,1,0,1,DUPLICADO_EXACTO,"Sardina, Macarel",100,DUPLICADO_EXACTO,Pendiente,100
"sardina,jurel",Pendiente,False,0,0,1,0,1,,,,DUPLICADO_EXACTO,Pendiente,100
